Artist,Song,Year,Song Year,Header
Augustus Pablo,King Tubby Meets the Rockers Uptown,1974,King Tubby Meets the Rockers Uptown (1974),Band/Artist from Song
The Replacements,Left of the Dial,1985,Left of the Dial (1985),Band/Artist from Song
Marvin Gaye,Let's Get It On,1973,Let's Get It On (1973),Band/Artist from Song
Dolly Parton,Coat of Many Colors,1971,Coat of Many Colors (1971),Band/Artist from Song
Paul Simon,American Tune,1973,American Tune (1973),Band/Artist from Song
Curtis Mayfield,Pusherman,1972,Pusherman (1972),Band/Artist from Song
The Wailers,"Get Up, Stand Up",1973,"Get Up, Stand Up (1973)",Band/Artist from Song
Neil Young,Heart of Gold,1972,Heart of Gold (1972),Band/Artist from Song
Gil-Scott Heron,The Revolution Will Not Be Televised,1971,The Revolution Will Not Be Televised (1971),Band/Artist from Song
Martha and the Vandellas,Heat Wave,1963,Heat Wave (1963),Band/Artist from Song
Metallica,Master of Puppets,1986,Master of Puppets (1986),Band/Artist from Song
Loretta Lynn,Coal Miner's Daughter,1970,Coal Miner's Daughter (1970),Band/Artist from Song
The Supremes,Stop! In the Name of Love,1965,Stop! In the Name of Love (1965),Band/Artist from Song
Willie Nelson,Blue Eyes Crying in the Rain,1975,Blue Eyes Crying in the Rain (1975),Band/Artist from Song
Parliament,Flash Light,1977,Flash Light (1977),Band/Artist from Song
Gloria Gaynor,I Will Survive,1978,I Will Survive (1978),Band/Artist from Song
Jimi Hendrix, Purple Haze,1967, Purple Haze (1967),Band/Artist from Song
Joan Jett,Bad Reputation,1980,Bad Reputation (1980),Band/Artist from Song
N.W.A.,Straight Outta Compton,1988,Straight Outta Compton (1988),Band/Artist from Song
Joni Mitchell,River,1971,River (1971),Band/Artist from Song
Faces,Ooh La La,1973,Ooh La La (1973),Band/Artist from Song
Beastie Boys,Sabotage,1994,Sabotage (1994),Band/Artist from Song
Pavement,Summer Babe (Winter Version),1992,Summer Babe (Winter Version) (1992),Band/Artist from Song
The Beatles,Eleanor Rigby,1966,Eleanor Rigby (1966),Band/Artist from Song
Jerry Lee Lewis,Great Balls of Fire,1957,Great Balls of Fire (1957),Band/Artist from Song
The Digital Underground,The Humpty Dance,1990,The Humpty Dance (1990),Band/Artist from Song
Backstreet Boys,I Want It That Way,1999,I Want It That Way (1999),Band/Artist from Song
Big Star,September Gurls,1974,September Gurls (1974),Band/Artist from Song
Aaliyah,Are You That Somebody?,1998,Are You That Somebody? (1998),Band/Artist from Song
Hank Williams, Your Cheatin' Heart,1953, Your Cheatin' Heart (1953),Band/Artist from Song
Bill Withers,Lean on Me,1972,Lean on Me (1972),Band/Artist from Song
New Order,Blue Monday,1983,Blue Monday (1983),Band/Artist from Song
